what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1309520404207
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1309520404225
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1309520404253
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1309520404256
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1309520404331
started,bundle,org.eclipse.wst.common.modulecore,1.2.6.v201103310300,"org.eclipse.wst.common.modulecore",1309520404344
started,bundle,org.eclipse.jst.j2ee.core,1.2.5.v201104261700,"org.eclipse.jst.j2ee.core",1309520404405
started,bundle,org.eclipse.jem,2.0.401.v201104271300,"org.eclipse.jem",1309520404951
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1309520405024
started,bundle,org.eclipse.jst.j2ee,1.1.405.v201104141500,"org.eclipse.jst.j2ee",1309520405130
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1309520405631
started,bundle,org.eclipse.wst.jsdt.ui,1.1.5.v201104070556,"org.eclipse.wst.jsdt.ui",1309520405631
opened,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1309520406406
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1309520406491
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.J2EEPerspective",1309520406560
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1309520408966
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1309520415018
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309520415061
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1309520428932
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309520434923
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309520443605
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309520447416
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309520449308
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1309520458462
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309520462865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309520470394
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309520477453
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1309520487020
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309520487104
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1309520505908
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309520511922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309520523100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521009799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521015166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309521036388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521036415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521050412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309521105066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521105083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521111987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521152405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521152488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521160379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521169300
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521172658
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521175315
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521176744
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521189089
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521193361
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521207362
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521215594
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521231747
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521233809
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521238597
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521245391
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521258776
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521260799
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521263486
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521265391
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521266134
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521273647
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521276278
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521276387
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1309521276496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521297673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309521313612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521313638
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521320123
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521322103
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309521323439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521329292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309521343018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521343035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521344579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521350382
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309521352392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521365070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521367034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521369950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521712671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521722752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309521739727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521739767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521753675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309521768992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521769038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309521771769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309522815389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309522816646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523350118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523354269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309523371204
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1309523371217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523371236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523373108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523376074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523383654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309523397450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523397482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523408576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309523425550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523425580
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309523439028
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309523447931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523457152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309523472930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523472958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523478597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309523493825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523493853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523507850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309523520470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523520497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523533055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523533955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523534178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523568307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523571395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309523827658
